Frog_ID,Species,Age,Weight,Length,Habitat,Conservation_Status,Last_Sighted,Breeding_Season,Population_Estimate
F001,Rana clamitans,2,49.87,6.47,Pond,Near Threatened,2023-03-26,Spring,516
F002,Bufo bufo,5,45.38,5.8,Wetland,Least Concern,2023-04-27,Summer,424
F003,Rana clamitans,7,189.43,5.9,Swamp,Vulnerable,2023-08-18,Spring,515
F004,Bufo bufo,9,150.51,11.72,Swamp,Near Threatened,2023-09-13,Fall,762
F005,Bufo bufo,3,103.19,7.45,Wetland,Vulnerable,2023-11-09,Summer,164
F006,Lithobates catesbeianus,4,53.21,9.21,Wetland,Near Threatened,2023-11-15,Spring,841
F007,Rana clamitans,1,58.33,10.57,Forest,Vulnerable,2023-02-18,Summer,387
F008,Lithobates catesbeianus,1,21.03,13.61,Wetland,Least Concern,2023-05-26,Spring,179
F009,Rana clamitans,7,92.54,12.27,Forest,Vulnerable,2023-01-10,Fall,183
F010,Rana clamitans,1,69.24,7.7,Forest,Least Concern,2023-07-10,Fall,883
F011,Rana clamitans,7,142.31,6.31,Swamp,Vulnerable,2023-03-21,Summer,919
F012,Lithobates catesbeianus,4,81.77,5.55,Wetland,Least Concern,2023-08-19,Summer,605
F013,Bufo bufo,4,44.12,8.02,Swamp,Least Concern,2023-07-26,Spring,496
F014,Lithobates catesbeianus,9,14.69,7.62,Wetland,Vulnerable,2023-08-17,Summer,785
F015,Lithobates catesbeianus,9,22.78,9.56,Swamp,Near Threatened,2023-11-24,Fall,110
F016,Rana clamitans,9,139.08,11.83,Forest,Least Concern,2023-11-15,Fall,600
F017,Bufo bufo,3,96.2,11.96,Forest,Vulnerable,2023-10-07,Fall,717
F018,Bufo bufo,4,111.95,7.84,Swamp,Least Concern,2023-12-14,Summer,948
F019,Bufo bufo,3,180.37,8.8,Forest,Least Concern,2023-01-08,Spring,170
F020,Bufo bufo,1,198.16,6.81,Pond,Vulnerable,2023-10-06,Fall,121
F021,Rana clamitans,9,51.21,12.89,Swamp,Least Concern,2023-12-21,Fall,834
F022,Bufo bufo,9,135.98,5.57,Swamp,Near Threatened,2023-06-08,Summer,807
F023,Rana clamitans,4,60.03,11.97,Wetland,Vulnerable,2023-09-04,Summer,436
F024,Rana clamitans,9,13.92,12.79,Forest,Least Concern,2023-03-22,Summer,420
F025,Bufo bufo,3,154.09,12.77,Pond,Vulnerable,2023-06-05,Summer,229
F026,Lithobates catesbeianus,9,70.8,7.59,Wetland,Vulnerable,2023-02-17,Spring,918
F027,Rana clamitans,5,82.86,8.74,Swamp,Near Threatened,2023-04-25,Summer,964
F028,Lithobates catesbeianus,4,121.78,10.88,Pond,Vulnerable,2023-01-12,Spring,463
F029,Rana clamitans,1,167.9,7.73,Pond,Vulnerable,2023-12-01,Spring,566
F030,Bufo bufo,5,129.51,8.71,Forest,Vulnerable,2023-10-14,Fall,438
F031,Bufo bufo,4,175.8,6.97,Swamp,Vulnerable,2023-04-01,Fall,797
F032,Lithobates catesbeianus,7,61.97,9.6,Wetland,Vulnerable,2023-10-18,Summer,506
F033,Rana clamitans,9,161.63,5.45,Pond,Least Concern,2023-02-24,Fall,883
F034,Bufo bufo,1,45.27,13.0,Swamp,Vulnerable,2023-12-04,Spring,640
F035,Bufo bufo,9,191.03,5.77,Forest,Least Concern,2023-06-13,Summer,427
F036,Bufo bufo,6,140.62,10.19,Swamp,Least Concern,2023-03-13,Summer,383
F037,Rana clamitans,1,50.95,8.07,Forest,Near Threatened,2023-11-12,Summer,316
F038,Lithobates catesbeianus,7,190.0,10.78,Swamp,Near Threatened,2023-04-23,Summer,413
F039,Rana clamitans,6,148.86,14.59,Wetland,Vulnerable,2023-03-10,Fall,926
F040,Lithobates catesbeianus,4,58.25,11.46,Swamp,Near Threatened,2023-01-14,Summer,316
F041,Lithobates catesbeianus,2,50.53,5.35,Wetland,Least Concern,2023-04-12,Spring,369
F042,Rana clamitans,9,108.46,9.3,Forest,Vulnerable,2023-10-03,Summer,178
F043,Lithobates catesbeianus,1,14.88,10.1,Pond,Near Threatened,2023-12-30,Fall,888
F044,Rana clamitans,5,49.42,10.36,Pond,Least Concern,2023-09-22,Spring,683
F045,Rana clamitans,7,90.69,11.81,Wetland,Near Threatened,2023-12-19,Fall,795
F046,Rana clamitans,6,81.09,7.78,Swamp,Vulnerable,2023-07-29,Fall,400
F047,Bufo bufo,8,98.08,6.29,Swamp,Near Threatened,2023-07-17,Fall,335
F048,Bufo bufo,9,62.75,8.93,Swamp,Vulnerable,2023-04-11,Fall,345
F049,Lithobates catesbeianus,9,121.49,14.56,Pond,Vulnerable,2023-09-11,Summer,191
F050,Rana clamitans,3,174.13,6.87,Forest,Near Threatened,2023-06-07,Fall,144
F051,Rana clamitans,9,32.33,14.04,Forest,Vulnerable,2023-08-19,Summer,883
F052,Bufo bufo,7,108.3,10.44,Forest,Vulnerable,2023-05-31,Summer,699
F053,Rana clamitans,7,35.09,9.57,Pond,Vulnerable,2023-01-31,Fall,689
F054,Bufo bufo,2,146.2,13.82,Forest,Vulnerable,2023-09-13,Spring,610
F055,Lithobates catesbeianus,7,85.25,9.59,Wetland,Near Threatened,2023-01-20,Fall,513
F056,Lithobates catesbeianus,9,117.43,12.24,Wetland,Vulnerable,2023-09-18,Fall,707
F057,Rana clamitans,9,44.82,8.99,Pond,Vulnerable,2023-05-29,Summer,210
F058,Bufo bufo,4,37.52,14.04,Swamp,Vulnerable,2023-12-29,Summer,822
F059,Bufo bufo,3,102.73,11.9,Forest,Vulnerable,2023-03-16,Summer,744
F060,Bufo bufo,4,77.57,12.0,Forest,Least Concern,2023-05-04,Summer,640
F061,Bufo bufo,7,188.68,8.28,Wetland,Near Threatened,2023-08-03,Fall,805
F062,Lithobates catesbeianus,4,155.41,12.57,Pond,Near Threatened,2023-11-13,Spring,149
F063,Lithobates catesbeianus,7,152.25,11.36,Swamp,Least Concern,2023-08-18,Spring,443
F064,Lithobates catesbeianus,6,181.71,7.4,Forest,Near Threatened,2023-09-08,Spring,669
F065,Rana clamitans,8,25.85,6.61,Pond,Least Concern,2023-04-04,Spring,820
F066,Lithobates catesbeianus,1,114.92,12.96,Pond,Near Threatened,2023-06-19,Summer,141
F067,Bufo bufo,9,121.05,14.59,Forest,Near Threatened,2023-02-10,Fall,574
F068,Rana clamitans,5,192.77,9.58,Swamp,Vulnerable,2023-07-08,Summer,852
F069,Bufo bufo,7,65.51,10.91,Forest,Least Concern,2023-07-29,Summer,294
F070,Lithobates catesbeianus,6,55.76,13.58,Pond,Least Concern,2023-06-29,Fall,373
F071,Rana clamitans,9,29.06,9.57,Wetland,Near Threatened,2023-10-24,Fall,120
F072,Rana clamitans,3,13.12,14.52,Wetland,Least Concern,2023-03-01,Fall,778
F073,Lithobates catesbeianus,4,186.61,10.76,Pond,Vulnerable,2023-01-30,Summer,420
F074,Rana clamitans,8,137.28,13.21,Pond,Near Threatened,2023-08-14,Spring,746
F075,Rana clamitans,6,159.18,14.09,Swamp,Near Threatened,2023-04-05,Summer,336
F076,Rana clamitans,4,63.53,13.16,Pond,Vulnerable,2023-08-27,Summer,762
F077,Rana clamitans,5,121.42,6.59,Swamp,Least Concern,2023-06-15,Fall,179
F078,Rana clamitans,6,22.15,11.29,Pond,Least Concern,2023-08-05,Summer,174
F079,Rana clamitans,4,102.27,8.98,Swamp,Near Threatened,2023-09-30,Spring,262
F080,Lithobates catesbeianus,4,195.72,5.63,Forest,Near Threatened,2023-12-22,Spring,780
F081,Rana clamitans,8,176.54,9.24,Wetland,Vulnerable,2023-06-17,Summer,778
F082,Lithobates catesbeianus,8,74.25,7.59,Swamp,Least Concern,2023-06-07,Fall,761
F083,Bufo bufo,4,192.7,13.49,Wetland,Least Concern,2023-03-07,Summer,902
F084,Bufo bufo,3,54.02,5.33,Forest,Least Concern,2023-10-07,Spring,473
F085,Bufo bufo,4,190.37,14.59,Swamp,Vulnerable,2023-07-20,Spring,260
F086,Rana clamitans,8,188.86,8.55,Forest,Vulnerable,2023-03-29,Summer,526
F087,Bufo bufo,8,161.85,8.57,Swamp,Near Threatened,2023-10-21,Spring,483
F088,Bufo bufo,6,129.79,5.16,Wetland,Near Threatened,2023-08-06,Summer,400
F089,Bufo bufo,2,176.11,6.85,Forest,Near Threatened,2023-12-12,Spring,711
F090,Rana clamitans,3,65.67,9.01,Pond,Near Threatened,2023-05-15,Fall,909
F091,Bufo bufo,3,171.3,14.29,Forest,Least Concern,2023-08-05,Spring,861
F092,Lithobates catesbeianus,9,127.4,6.0,Swamp,Least Concern,2023-04-12,Summer,971
F093,Rana clamitans,2,12.52,14.45,Wetland,Least Concern,2023-10-25,Summer,863
F094,Bufo bufo,6,75.97,13.69,Pond,Least Concern,2023-02-13,Fall,404
F095,Lithobates catesbeianus,9,38.15,9.54,Pond,Vulnerable,2023-04-21,Spring,483
F096,Rana clamitans,5,196.55,8.27,Forest,Vulnerable,2023-08-28,Summer,750
F097,Lithobates catesbeianus,1,100.89,7.33,Forest,Least Concern,2023-10-06,Spring,424
F098,Rana clamitans,3,104.5,11.14,Pond,Near Threatened,2023-01-12,Fall,373
F099,Bufo bufo,6,131.5,5.33,Forest,Least Concern,2023-04-30,Summer,871
F100,Lithobates catesbeianus,6,80.03,5.16,Wetland,Near Threatened,2023-10-10,Fall,713
F101,Lithobates catesbeianus,1,36.01,9.29,Pond,Vulnerable,2023-02-18,Summer,706
F102,Bufo bufo,9,166.2,5.68,Pond,Vulnerable,2023-07-19,Spring,571
F103,Rana clamitans,2,46.07,7.52,Forest,Near Threatened,2023-08-28,Summer,385
F104,Bufo bufo,2,107.15,7.21,Forest,Least Concern,2023-07-02,Fall,714
F105,Bufo bufo,1,52.62,7.53,Swamp,Least Concern,2023-04-07,Summer,735
F106,Rana clamitans,4,28.59,6.31,Forest,Near Threatened,2023-12-23,Fall,258
F107,Lithobates catesbeianus,9,173.82,5.12,Pond,Least Concern,2023-12-05,Summer,303
F108,Lithobates catesbeianus,9,194.85,6.15,Pond,Least Concern,2023-03-29,Fall,550
F109,Lithobates catesbeianus,5,192.56,11.18,Swamp,Vulnerable,2023-01-03,Spring,577
F110,Lithobates catesbeianus,5,182.25,14.74,Swamp,Near Threatened,2023-09-22,Summer,416
F111,Bufo bufo,1,157.07,14.9,Pond,Least Concern,2023-09-24,Spring,747
F112,Lithobates catesbeianus,4,73.3,9.09,Swamp,Vulnerable,2023-09-19,Summer,791
F113,Lithobates catesbeianus,8,25.41,6.63,Pond,Least Concern,2023-10-22,Summer,344
F114,Lithobates catesbeianus,4,87.38,11.39,Forest,Least Concern,2023-04-11,Spring,685
F115,Lithobates catesbeianus,3,54.12,9.9,Pond,Near Threatened,2023-04-28,Fall,571
F116,Lithobates catesbeianus,2,35.17,14.89,Swamp,Least Concern,2023-03-01,Spring,501
F117,Rana clamitans,2,20.15,5.65,Forest,Vulnerable,2023-06-14,Spring,780
F118,Bufo bufo,3,147.86,12.83,Pond,Least Concern,2023-09-19,Summer,343
F119,Lithobates catesbeianus,2,12.17,7.88,Pond,Near Threatened,2023-02-08,Fall,633
F120,Lithobates catesbeianus,5,156.41,7.41,Swamp,Least Concern,2023-06-13,Fall,706
F121,Lithobates catesbeianus,4,108.29,5.1,Wetland,Near Threatened,2023-01-22,Fall,264
F122,Rana clamitans,4,102.14,9.76,Wetland,Near Threatened,2023-05-27,Spring,384
F123,Bufo bufo,9,181.22,12.09,Forest,Near Threatened,2023-03-05,Fall,600
F124,Lithobates catesbeianus,2,115.38,5.44,Forest,Near Threatened,2023-12-12,Spring,164
F125,Bufo bufo,4,167.1,13.8,Wetland,Least Concern,2023-01-30,Fall,992
F126,Bufo bufo,4,147.86,10.2,Pond,Near Threatened,2023-10-21,Spring,241
F127,Bufo bufo,2,17.33,5.31,Wetland,Near Threatened,2023-06-18,Spring,335
F128,Rana clamitans,6,156.89,7.24,Swamp,Vulnerable,2023-12-29,Summer,614
F129,Lithobates catesbeianus,4,51.21,14.54,Forest,Least Concern,2023-08-12,Fall,521
F130,Rana clamitans,7,181.6,10.82,Swamp,Least Concern,2023-04-14,Spring,187
F131,Bufo bufo,5,18.16,6.07,Swamp,Vulnerable,2023-09-25,Summer,834
F132,Lithobates catesbeianus,9,73.28,7.88,Pond,Near Threatened,2023-11-09,Spring,615
F133,Rana clamitans,6,28.95,9.57,Pond,Least Concern,2023-05-23,Summer,211
F134,Lithobates catesbeianus,8,100.36,5.21,Wetland,Near Threatened,2023-10-16,Spring,948
F135,Rana clamitans,2,165.8,9.12,Pond,Vulnerable,2023-07-13,Summer,855
F136,Bufo bufo,9,66.66,9.89,Forest,Least Concern,2023-05-02,Fall,694
F137,Lithobates catesbeianus,3,38.68,7.44,Forest,Near Threatened,2023-11-18,Spring,918
F138,Bufo bufo,1,72.75,10.89,Forest,Least Concern,2023-02-06,Fall,590
F139,Bufo bufo,1,164.64,12.53,Forest,Least Concern,2023-09-08,Fall,128
F140,Lithobates catesbeianus,5,36.67,7.36,Forest,Near Threatened,2023-01-26,Summer,903
F141,Lithobates catesbeianus,3,53.2,11.2,Wetland,Near Threatened,2023-03-14,Fall,409
F142,Rana clamitans,2,23.08,11.4,Forest,Least Concern,2023-02-20,Summer,894
F143,Rana clamitans,3,144.08,14.49,Wetland,Vulnerable,2023-01-13,Summer,469
F144,Bufo bufo,3,85.09,12.78,Swamp,Least Concern,2023-05-28,Summer,459
F145,Rana clamitans,4,69.06,13.48,Swamp,Vulnerable,2023-07-15,Summer,654
F146,Lithobates catesbeianus,5,146.54,9.9,Pond,Least Concern,2023-01-08,Summer,914
F147,Lithobates catesbeianus,8,73.84,6.85,Forest,Near Threatened,2023-04-03,Spring,297
F148,Lithobates catesbeianus,6,148.28,14.96,Swamp,Vulnerable,2023-01-15,Spring,640
F149,Bufo bufo,2,164.89,6.29,Wetland,Vulnerable,2023-02-16,Fall,227
F150,Rana clamitans,4,51.36,9.71,Wetland,Least Concern,2023-08-16,Spring,271
F151,Rana clamitans,2,195.03,5.68,Wetland,Least Concern,2023-02-05,Summer,183
F152,Rana clamitans,1,40.85,14.44,Pond,Vulnerable,2023-07-29,Summer,162
F153,Rana clamitans,2,65.26,14.65,Wetland,Near Threatened,2023-06-01,Spring,942
F154,Rana clamitans,5,44.16,12.19,Pond,Vulnerable,2023-03-03,Fall,302
F155,Rana clamitans,1,75.65,8.5,Wetland,Vulnerable,2023-04-28,Fall,749
F156,Rana clamitans,3,101.21,7.54,Pond,Near Threatened,2023-07-01,Spring,319
F157,Bufo bufo,2,109.21,7.65,Pond,Near Threatened,2023-01-13,Summer,839
F158,Rana clamitans,4,172.19,6.27,Swamp,Least Concern,2023-01-08,Summer,943
F159,Rana clamitans,2,179.0,10.26,Swamp,Least Concern,2023-04-21,Fall,964
F160,Rana clamitans,5,51.82,6.42,Wetland,Least Concern,2023-06-17,Spring,266
F161,Bufo bufo,8,128.35,8.17,Swamp,Near Threatened,2023-12-17,Summer,131
F162,Rana clamitans,6,31.18,11.27,Pond,Vulnerable,2023-05-28,Fall,855
F163,Bufo bufo,7,97.2,12.28,Pond,Near Threatened,2023-08-23,Fall,482
F164,Bufo bufo,3,71.24,5.24,Forest,Least Concern,2023-03-07,Spring,959
F165,Bufo bufo,6,70.14,9.3,Forest,Vulnerable,2023-03-24,Fall,925
F166,Lithobates catesbeianus,3,101.69,11.52,Pond,Least Concern,2023-03-31,Summer,121
F167,Rana clamitans,3,148.67,13.53,Swamp,Vulnerable,2023-04-12,Fall,837
F168,Lithobates catesbeianus,2,23.14,9.75,Pond,Near Threatened,2023-07-04,Fall,929
F169,Rana clamitans,4,177.04,14.69,Wetland,Least Concern,2023-03-14,Fall,592
F170,Bufo bufo,9,149.61,7.66,Forest,Near Threatened,2023-06-28,Spring,909
F171,Bufo bufo,4,43.53,5.14,Forest,Near Threatened,2023-02-04,Summer,471
F172,Rana clamitans,1,188.44,9.84,Swamp,Near Threatened,2023-01-12,Fall,975
F173,Rana clamitans,8,106.2,7.56,Pond,Vulnerable,2023-04-19,Spring,455
F174,Bufo bufo,4,199.96,13.24,Forest,Near Threatened,2023-05-20,Fall,269
F175,Rana clamitans,9,47.48,7.33,Swamp,Near Threatened,2023-12-27,Summer,350
F176,Rana clamitans,3,111.63,8.11,Forest,Vulnerable,2023-06-27,Fall,763
F177,Lithobates catesbeianus,5,65.15,12.91,Swamp,Near Threatened,2023-08-12,Spring,353
F178,Bufo bufo,4,67.79,12.15,Forest,Near Threatened,2023-11-01,Fall,844
F179,Lithobates catesbeianus,2,122.3,10.58,Wetland,Near Threatened,2023-03-16,Fall,920
F180,Bufo bufo,7,185.13,12.05,Forest,Vulnerable,2023-05-20,Fall,379
F181,Lithobates catesbeianus,6,163.0,9.19,Pond,Vulnerable,2023-04-04,Spring,222
F182,Rana clamitans,9,147.55,5.05,Swamp,Least Concern,2023-02-04,Fall,940
F183,Rana clamitans,5,116.24,5.11,Swamp,Near Threatened,2023-07-22,Fall,653
F184,Bufo bufo,4,185.24,10.11,Forest,Vulnerable,2023-08-30,Spring,337
F185,Bufo bufo,7,103.55,5.83,Pond,Near Threatened,2023-10-23,Spring,928
F186,Bufo bufo,6,176.03,5.51,Forest,Vulnerable,2023-01-11,Summer,915
F187,Lithobates catesbeianus,4,168.46,14.66,Forest,Vulnerable,2023-09-16,Spring,755
F188,Bufo bufo,8,50.63,13.59,Forest,Vulnerable,2023-03-17,Fall,136
F189,Rana clamitans,9,156.53,6.52,Wetland,Least Concern,2023-02-21,Fall,706
F190,Bufo bufo,9,12.31,5.01,Swamp,Near Threatened,2023-04-02,Spring,910
F191,Rana clamitans,4,71.34,14.42,Pond,Vulnerable,2023-05-12,Summer,866
F192,Lithobates catesbeianus,8,53.62,7.78,Wetland,Near Threatened,2023-09-30,Spring,612
F193,Rana clamitans,9,106.3,6.86,Wetland,Vulnerable,2023-11-16,Summer,833
F194,Rana clamitans,6,150.0,11.92,Forest,Near Threatened,2023-11-17,Spring,167
F195,Lithobates catesbeianus,8,28.56,6.09,Forest,Near Threatened,2023-09-27,Summer,387
F196,Rana clamitans,3,107.84,7.65,Forest,Vulnerable,2023-10-22,Summer,897
F197,Lithobates catesbeianus,8,188.3,14.75,Swamp,Near Threatened,2023-09-18,Fall,116
F198,Lithobates catesbeianus,9,53.44,11.39,Forest,Least Concern,2023-01-04,Summer,382
F199,Lithobates catesbeianus,1,138.66,10.21,Wetland,Least Concern,2023-03-23,Fall,362
F200,Rana clamitans,8,122.65,8.98,Swamp,Near Threatened,2023-05-25,Spring,333
